Code, Description
0100, Suspect Impersonate
0101, Aid Victim
0102, Blind
0103, Crippled
0104, Customer
0105, Delivery
0106, Doctor
0107, God
0108, Infirm
0109, Inspector
0110, Involved in Traffic/accident
0112, Police
0113, Renting
0114, Repair Person
0115, Returning Stolen Property
0116, Satan
0117, Salesman
0118, Seeking Someone
0119, Sent by Owner
0120, Social Security/medicare
0121, Dwp/gas Company/utility Worker
0122, Contractor
0123, Gardener/tree Trimmer
0200, Suspect Wore Disguise
0201, Bag
0202, Cap/hat
0203, Cloth (With Eyeholes)
0204, Clothes of Opposite Sex
0205, Earring
0206, Gloves
0207, Handkerchief
0208, Halloween Mask
0209, Mask
0210, Make Up (Males Only)
0211, Shoes
0212, Nude/partly Nude
0213, Ski Mask
0214, Stocking
0215, Unusual Clothes
0216, Suspect Wore Hood/hoodie
0217, Uniform
0218, Wig
0219, Moustache-fake
0220, Suspect Wore Motorcycle Helmet
0301, Escaped on (Used) Transit Train
0302, Aimed Gun
0303, Ambushed
0304, Ate/drank on Premises
0305, Attacks From Rear
0306, Crime on Upper Floor
0307, Defecated/urinated
0308, Demands Jewellery
0309, Drive-by Shooting
0310, Got Victim to Withdraw Savings
0311, Graffiti
0312, Gun in Waistband
0313, Hid in Building
0314, Hot Prowl
0315, Jumped Counter/goes Behind Counter
0316, Makes Victim Give Money
0317, Pillowcase/suitcase
0318, Prepared Exit
0319, Profanity Used
0320, Quiet Polite
0321, Ransacked
0322, Smashed Display Case
0323, Smoked on Premises
0324, Takes Money From Register
0325, Took Merchandise
0326, Used Driver
0327, Used Lookout
0328, Used Toilet
0329, Vandalized
0330, Victims Vehicle Taken
0331, Mailbox Bombing
0332, Mailbox Vandalism
0333, Used Hand Held Radios
0334, Brandishes Weapon
0335, Cases Location
0336, Chain Snatch
0337, Demands Money
0338, Disables Telephone
0339, Disables Video Camera
0340, Suspect Follows Victim/follows Victim Home
0341, Makes Victim Lie Down
0342, Multi-suspects Overwhelm
0343, Orders Victim to Rear Room
0344, Removes Victim Property
0345, Riding Bike
0346, Snatch Property and Runs
0347, Stalks Victim
0348, Takeover Other
0349, Takes Mail
0350, Concealed Victim's Body
0351, Disabled Security
0352, Took Victim's Clothing or Jewellery
0353, Weapon Concealed
0354, Suspect Takes Car Keys
0355, Demanded Property Other Than Money
0356, Suspect Spits on Victim
0357, Cuts or Breaks Purse Strap
0358, Forces Entry
0359, Made Unusual Statement
0360, Suspect Is Other Family Member
0361, Suspect Is Neighbor
0362, Suspect Attempts to Carry Victim Away
0363, Home Invasion
0364, Suspect Is Babysitter
0365, Takeover Robbery
0366, Ordered Victim to Open Safe
0367, Was Transit Patrol
0368, Suspect Speaks Foreign Language
0369, Suspect Speaks Spanish
0370, Frisks Victim/pats Down Victim/searches Victim
0371, Gang Affiliation Questions Asked/made Gang Statement
0372, Photographed Victim/took Pictures of Victim
0373, Handicapped/in Wheelchair
0374, Gang Signs/threw Gang Signs Using Hands
0375, Removes Cash Register
0376, Makes Victim Kneel
0377, Takes Victim's Identification/driver License
0378, Brings Own Bag
0379, Turns Off Lights/electricity
0380, Distracts Victim
0381, Suspect Apologizes
0382, Removed Money/property From Safe
0383, Suspect Entered During Open House/party/estate/yard Sale
0384, Suspect Removed Drugs From Location
0385, Suspect Removed Parts From Vehicle
0386, Suspect Removed Property From Trunk of Vehicle
0387, Weapon (Other Than Gun) in Waistband
0388, Suspect Points Laser at Plane/helicopter
0389, Knock-knock
0390, Purse Snatch
0391, Used Demand Note
0392, False Emergency Reporting
0393, 911, Abuse
0394, Suspect Takes Ups; Fedex; Usps Packages
0395, Murder/suicide
0396, Used Paper Plates to Disguise License Number
0397, Cut Lock (to Bicycle; Gate; Etc.
0398, Roof Access (Remove a/c; Equip; Etc.)
0399, Vehicle to Vehicle Shooting
0400, Force Used
0401, Bit
0402, Blindfolded
0403, Bomb Threat; Bomb Found
0404, Bomb Threat; No Bomb
0405, Bound
0406, Brutal Assault
0407, Burned Victim
0408, Choked/uses Choke Hold/strangulation/suffocation
0409, Cover Mouth W/hands
0410, Covered Victim's Face
0411, Cut/stabbed
0412, Disfigured
0413, Drugged
0414, Gagged
0415, Handcuffed/metal
0416, Hit-hit W/ Weapon
0417, Kicked
0418, Kidnapped
0419, Pulled Victims Hair
0420, Searched
0421, Threaten to Kill
0422, Threaten Victims Family
0423, Tied Victim to Object
0424, Tore Clothes Off Victim
0425, Tortured
0426, Twisted Arm
0427, Whipped
0428, Dismembered
0429, Victim Knocked to Ground
0430, Victim Shot
0431, Sprayed With Chemical
0432, Intimidation
0433, Makes Victim Kneel
0434, Bed Sheets/linens
0435, Chain
0436, Clothing
0437, Flexcuffs/plastic Tie
0438, Rope/cordage
0439, Tape/electrical Etc...
0440, Telephone/electric Cord
0441, Wire
0442, Active Shooter/armed Person Who Has Used Deadly Physical Force on Other Persons & Aggressively Continues While Having Access to More Victim's
0443, Threaten to Harm Victim (Other Than Kill)
0444, Pushed
0445, Suspect Swung Weapon
0446, Suspect Swung Fist
0447, Suspect Threw Object at Victim
0448, Grabbed
0449, Put a Weapon to Body
0450, Suspect Shot at Victim (No Hits)
0500, Sex Related Acts
0501, Suspect Ejaculated Outside Victim
0502, Fecal Fetish
0503, Fondle Victim
0504, Forced to Disrobe
0505, Forced to Fondle Suspect
0506, Forced to Masturbate Suspect
0507, Forced to Orally Copulate Suspect
0508, Hit Victim Prior; During; After Act
0509, Hugged
0510, Kissed Victims Body/face
0511, Masochism/bondage
0512, Orally Copulated Victim
0513, Photographed Victim
0514, Pornography
0515, Put Hand; Finger or Object Into Vagina
0516, Reached Climax/ejaculated
0517, Sadism/sexual Gratification Obtained by Infliction of Physical or Mental Pain on Others
0518, Simulated Intercourse
0519, Sodomy
0520, Solicited/offered Immoral Act
0521, Tongue or Mouth to Anus
0522, Touched
0523, Unable to Get Erection
0524, Underwear Fetish
0525, Urinated
0526, Utilized Condom
0527, Actual Intercourse
0528, Masturbate
0529, Indecent Exposure
0530, Used Lubricant
0531, Suspect Made Sexually Suggestive Remarks
0532, Suspect Undressed Victim
0533, Consensual Sex
0534, Suspect in Vehicle Nude/partially Nude
0535, Suspect Asks Minor's Name
0536, Suspect Removes Own Clothing
0537, Suspect Removes Victim's Clothing
0538, Suspect Fondles Self
0539, Suspect Puts Hand in Victim's Rectum
0540, Suspect Puts Finger(S) in Victim's Rectum
0541, Suspect Puts Object(S) in Victim's Rectum
0542, Orders Victim to Undress
0543, Orders Victim to Fondle Suspect
0544, Orders Victim to Fondle Self
0545, Male Victim of Sexual Assault
0546, Suspect Instructs Victim to Make Certain Statements
0547, Suspect Force Victim to Bathe/clean/wipe
0548, Suspect Gives Victim Douche/enema
0549, Suspect Ejaculates in Victims Mouth
0550, Suspect Licks Victim
0551, Suspect Touches Victim Genitalia/genitals Over Clothing
0552, Suspect Is Victim's Father
0553, Suspect Is Victim's Mother
0554, Suspect Is Victim's Brother
0555, Suspect Is Victim's Sister
0556, Suspect Is Victim's Step-father
0557, Suspect Is Victim's Step-mother
0558, Suspect Is Victim's Uncle
0559, Suspect Is Victim's Aunt
0560, Suspect Is Victim's Guardian
0561, Suspect Is Victim's Son
0562, Suspect Is Victim's Daughter
0563, Fetish; Other
0601, Business
0602, Family
0603, Landlord/tenant/neighbour
0604, Reproductive Health Services/facilities
0605, Traffic Accident/traffic Related Incident
0701, Theft: Trick or Device
0800, Bunco
0901, Organized Crime
0902, Political Activity
0903, Hatred/prejudice
0904, Strike/labour Troubles
0905, Terrorist Group
0906, Gangs
0907, Narcotics (Buy-sell-rip)
0908, Prostitution
0909, Ritual/occult
0910, Public Transit (Metrolink/train Station; Metro Rail Red; Line Subway Station; Metro Rail Blue Line Station; Adjacent Transit Parking Lots; Tracks or Tunnels Mta(Rtd); and Other Municipal Lines).
0911, Revenge
0912, Insurance
0913, Victim Knew Suspect
0914, Other Felony
0915, Parolee
0916, Forced Theft of Vehicle (Car-jacking)
0917, Victim's Employment
0918, Career Criminal
0919, Road Rage
0920, Homeland Security
0921, Hate Incident
0922, Atm Theft With Pin Number
0923, Stolen/forged Checks (Personal Checks)
0924, Stolen/forged Checks (Business Checks)
0925, Stolen/forged Checks (Cashier's Checks)
0926, Forged or Telephonic Prescription
0927, Fraudulent or Forged School Loan
0928, Forged or Fraudulent Credit Applications
0929, Unauthorized Use of Victim's Bank Account Information
0930, Unauthorized Use of Victim's Credit/debit Card or Number
0931, Counterfeit or Forged Real Estate Documents
0932, Suspect Uses Victim's Identity in Reporting a Traffic Collision
0933, Suspect Uses Victim's Identity When Arrested
0934, Suspect Uses Victim's Identity When Receiving a Citation
0935, Misc. Stolen/forged Documents
0936, Dog Fighting
0937, Cock Fighting
0938, Animal Neglect
0939, Animal Hoarding
0940, Met Online/chat Room/on Party Line
0941, Non-revocable Parole (Nrp)
0942, Party/flier Party/rave Party
0943, Human Trafficking
0944, Bait Operation
0945, Estes Robbery
0946, Gang Feud
1000, Suspects Offers/solicits
1001, Aid for Vehicle
1002, Amusement
1003, Appraise
1004, Assistant
1005, Audition
1006, Bless
1007, Candy
1008, Cigarette
1009, Directions
1010, Drink (Not Liquor)
1011, Employment
1012, Find a Job
1013, Food
1014, Game
1015, Gift
1016, Hold for Safekeeping
1017, Information
1018, Liquor
1019, Money
1020, Narcotics
1021, Repair
1022, Ride
1023, Subscriptions
1024, Teach
1025, Train
1026, Use the Phone or Toilet
1027, Change
1028, Suspect Solicits Time of Day
1100, Shots Fired
1101, Shots Fired (Animal) - Animal Services
1201, Absent-advertised in Paper
1202, Aged (60, & Over) or Blind/crippled/unable to Care for Self
1203, Victim of Crime Past 12, Months
1204, Moving
1205, on Vacation/tourist
1206, Under Influence Drugs/liquor
1207, Hitchhiker
1208, Illegal Alien
1209, Salesman; Jewellery
1210, Professional (Doctor; Lawyer; Etc.)
1211, Public Official
1212, La Police Officer
1213, La Fireman
1214, Banking; ATM
1215, Prostitute
1216, Sales
1217, Teenager(Use if Victim's Age Is Unknown)
1218, Victim Was Homeless/transient
1219, Nude
1220, Partially Nude
1221, Missing Clothing/jewellery
1222, Homosexual/gay
1223, Riding Bike
1224, Drive-through (Not Merchant)
1225, Stop Sign/light
1226, Catering Truck Operator
1227, Delivery Person
1228, Leaving Business Area
1229, Making Bank Drop
1230, Postal Employee
1231, Taxi Driver
1232, Bank; Arriving at
1233, Bank; Leaving
1234, Bar Customer
1235, Bisexual/sexually Oriented Towards Both Sexes
1236, Clerk/employer/owner
1237, Customer
1238, Handicapped
1239, Transgender
1240, Vehicle Occupant/passenger
1241, Spouse
1242, Parent
1243, Co-habitants
1244, Victim Was Forced Into Business
1245, Victim Was Forced Into Residence
1247, Opening Business
1248, Closing Business
1251, Victim Was a Student
1252, Victim Was a Street Vendor
1253, Bus Driver
1254, Train Operator
1255, Followed Transit System
1256, Patron
1257, Victim Is Newborn-5, Years Old
1258, Victim Is 6, Years Old Thru 13, Years Old
1259, Victim Is 14, Years Old Thru 17, Years Old
1260, Deaf/hearing Impaired
1261, Mentally Challenged/retarded/intellectually Slow
1262, Raped While Unconscious
1263, Agricultural Target
1264, Pipeline
1265, Mailbox
1266, Victim Was Security Guard
1267, Home Under Construction
1268, Victim Was 5150/mental Illness
1269, Victim Was Armoured Car Driver
1270, Victim Was Gang Member
1271, Victim Was Law Enforcement (Not Lapd)
1272, Victim Was at/leaving Medical/retail/non-retail Cannabis Location
1273, Home Was Being Fumigated
1274, Victim Was Inmate/incarcerated
1275, Vacant Residence/building
1276, Pregnant
1277, Gardner
1278, Victim Was Uber/lyft Driver
1279, Victim Was Foster Child
1280, Victim Was Foster Parent
1281, Victim Was Pistol-whipped
1300, Vehicle Involved
1301, Forced Victim Vehicle to Curb
1302, Suspect Forced Way Into Victim's Vehicle
1303, Hid in Rear Seat
1304, Stopped Victim Vehicle by Flagging Down; Forcing T/a; Etc.
1305, Victim Forced Into Vehicle
1306, Victim Parking; Garaging Vehicle
1307, Breaks Window
1308, Drives by and Snatches Property
1309, Suspect Uses Vehicle
1310, Victim in Vehicle
1311, Victim Removed From Vehicle
1312, Suspect Follows Victim in Vehicle
1313, Suspect Exits Vehicle and Attacks Pedestrian
1314, Victim Loading Vehicle
1315, Victim Unloading Vehicle
